id,Details,NDRE_TAMU,NDRE_WSU
1,AHR2,0.117819142,0.410712505
2,AHR2,0.087938113,0.390299836
3,AHR2,0.187804695,0.465680671
4,AHR2,0.173411865,0.453795887
5,AHR2,0.16971357,0.4618321
6,AHR2,0.025631873,0.373787718
7,AHR2,0.213178198,0.491108846
8,AHR2,0.212270709,0.490634744
9,AHR2,0.196241873,0.476337738
10,AHR2,0.229909886,0.500821458
11,AHR2,0.164501437,0.449067866
12,AHR2,0.204111478,0.483333122
13,AHR2,0.193009468,0.482804148
14,AHR2,0.243176321,0.515241953
15,AHR2,0.253201432,0.519479123
16,AHR2,0.267544561,0.533095885
17,AHR2,0.241283832,0.517283444
18,AHR2,0.19640674,0.481801048
19,AHR2,0.199281683,0.478007167
20,AHR2,0.154900975,0.45161097
21,AHR2,0.238738091,0.520013379
22,AHR2,0.176201273,0.469543377
23,AHR2,0.162878537,0.455092285
24,AHR2,0.190403653,0.483606746
25,AHR2,0.170624341,0.456558981
26,AHR2,0.168692373,0.460092613
27,AHR2,0.197166018,0.484124164
28,AHR2,0.201906537,0.47757229
29,AHR2,0.268124524,0.527536772
30,AHR2,0.232591534,0.50163821
31,AHR2,0.248452742,0.520389854
32,AHR2,0.171742508,0.459427252
33,AHR2,0.228708959,0.503072964
34,AHR2,0.162648922,0.445275813
35,AHR2,0.235810525,0.504499802
36,AHR2,0.271130998,0.530126015
37,AHR2,0.201198082,0.48217572
38,AHR2,0.218728699,0.500763224
39,AHR2,0.209662356,0.489488809
40,AHR2,0.251398915,0.518119334
41,AHR2,0.020055064,0.393586765
42,AHR2,0.098233294,0.429092346
43,AHR2,0.0642802,0.401353755
44,AHR2,0.012917708,0.3748947
45,AHR2,0.247332357,0.519840646
46,AHR2,0.187112722,0.474837751
47,AHR2,0.169235593,0.461804158
48,AHR2,0.237575933,0.506707752
49,AHR2,0.184195069,0.467954736
50,AHR2,0.114448699,0.432974681
51,AHR2,0.179869527,0.475600759
52,AHR2,0.197636314,0.482395097
53,AHR2,0.27575474,0.538903431
54,AHR2,0.245820679,0.517338944
55,AHR2,0.049829215,0.394337526
56,AHR2,0.286134351,0.544945693
57,AHR2,0.223657492,0.501625745
58,AHR2,0.143607995,0.440902827
59,AHR2,0.212682411,0.500156336
60,AHR2,0.179730022,0.469087764
61,AHR2,0.098153266,0.407581831
62,AHR2,0.164065063,0.456216791
63,AHR2,0.187601509,0.472479867
64,AHR2,0.143654784,0.437472545
65,AHR2,0.125196004,0.425272044
66,AHR2,0.08568074,0.39442275
67,AHR2,0.015761415,0.367097322
68,AHR2,0.119367577,0.432872745
69,AHR2,0.193891228,0.481925381
70,AHR2,0.232909152,0.506862214
71,AHR2,0.193783553,0.473919841
72,AHR2,0.175052982,0.463267612
1,AWY2,0.155003586,0.44003338
2,AWY2,0.162153739,0.456133961
3,AWY2,0.107616759,0.411285104
4,AWY2,0.135148119,0.422621784
5,AWY2,0.14381859,0.431537717
6,AWY2,0.206946938,0.478002632
7,AWY2,0.132664812,0.429393042
8,AWY2,0.201893368,0.478156549
9,AWY2,0.195411651,0.477037758
10,AWY2,0.214183846,0.494631133
11,AWY2,0.105651943,0.417587338
12,AWY2,0.213763479,0.49840835
13,AWY2,0.116013617,0.415517291
14,AWY2,0.223358932,0.499486545
15,AWY2,0.238711603,0.51136955
16,AWY2,0.226890779,0.495500192
17,AWY2,0.243730202,0.506577695
18,AWY2,0.226550679,0.50213819
19,AWY2,0.216431391,0.488499699
20,AWY2,0.258447355,0.522410167
21,AWY2,0.259909657,0.519904178
22,AWY2,0.290734214,0.54245899
23,AWY2,0.303005817,0.550917989
24,AWY2,0.298070143,0.551355288
25,AWY2,0.289420323,0.545428173
26,AWY2,0.288735591,0.547518604
27,AWY2,0.241057975,0.523880156
28,AWY2,0.227043032,0.503933734
29,AWY2,0.267392364,0.533003076
30,AWY2,0.269889618,0.535357157
31,AWY2,0.255575172,0.520730723
32,AWY2,0.264181253,0.531550462
33,AWY2,0.230271304,0.50930851
34,AWY2,0.212389464,0.496960932
35,AWY2,0.206526422,0.493381404
36,AWY2,0.193040943,0.476816363
37,AWY2,0.241820262,0.510026022
38,AWY2,0.184901298,0.46738932
39,AWY2,0.193347172,0.480973658
40,AWY2,0.18365623,0.470852535
41,AWY2,0.231744821,0.504964019
42,AWY2,0.193372064,0.478532759
43,AWY2,0.25934534,0.533233614
44,AWY2,0.242203958,0.519906252
45,AWY2,0.266567084,0.535767248
46,AWY2,0.21473084,0.508473384
