id,Details,NDVI_TAMU,NDVI_WSU
1,AHR2,0.935102852,0.588504468
2,AHR2,0.933125152,0.589045366
3,AHR2,0.954606777,0.68199878
4,AHR2,0.949922635,0.655155821
5,AHR2,0.955961748,0.713946089
6,AHR2,0.896947352,0.505416403
7,AHR2,0.960525867,0.728593324
8,AHR2,0.958364416,0.717281631
9,AHR2,0.957961272,0.705043607
10,AHR2,0.968294602,0.76184327
11,AHR2,0.95746791,0.691560974
12,AHR2,0.963474756,0.735619303
13,AHR2,0.954889008,0.696349165
14,AHR2,0.962063755,0.74175714
15,AHR2,0.973564381,0.807048755
16,AHR2,0.969833044,0.783220121
17,AHR2,0.967773982,0.769103392
18,AHR2,0.960222009,0.730221226
19,AHR2,0.96063783,0.716897045
20,AHR2,0.945786429,0.639881335
21,AHR2,0.959050052,0.729108803
22,AHR2,0.952489234,0.692288779
23,AHR2,0.942689285,0.631354256
24,AHR2,0.952481994,0.710789062
25,AHR2,0.950099863,0.66747758
26,AHR2,0.948232781,0.663600441
27,AHR2,0.958975903,0.74172486
28,AHR2,0.963449469,0.737746147
29,AHR2,0.967476262,0.760103945
30,AHR2,0.966414349,0.758239974
31,AHR2,0.970542386,0.791573231
32,AHR2,0.947533356,0.652866758
33,AHR2,0.960301643,0.717629684
34,AHR2,0.956285558,0.689919427
35,AHR2,0.964244549,0.742084001
36,AHR2,0.971381867,0.779839226
37,AHR2,0.953381947,0.684885409
38,AHR2,0.954348978,0.700327938
39,AHR2,0.956130868,0.706639187
40,AHR2,0.972253398,0.796158421
41,AHR2,0.891854469,0.529695914
42,AHR2,0.921604111,0.585252084
43,AHR2,0.924238084,0.604435856
44,AHR2,0.893180033,0.505531432
45,AHR2,0.969538528,0.779231258
46,AHR2,0.960311161,0.718844217
47,AHR2,0.949795445,0.665560603
48,AHR2,0.967658776,0.765789827
49,AHR2,0.958846989,0.708168873
50,AHR2,0.936798931,0.648466689
51,AHR2,0.950823296,0.681985363
52,AHR2,0.961099164,0.72899011
53,AHR2,0.971479328,0.788023885
54,AHR2,0.969562024,0.774652685
55,AHR2,0.903711364,0.524362724
56,AHR2,0.978218542,0.83009452
57,AHR2,0.961816304,0.735218732
58,AHR2,0.945817723,0.646736933
59,AHR2,0.952801744,0.696464571
60,AHR2,0.94789678,0.658883313
61,AHR2,0.928199544,0.572842006
62,AHR2,0.951691914,0.698042098
63,AHR2,0.951502219,0.677795411
64,AHR2,0.943799153,0.635285394
65,AHR2,0.939336124,0.615222549
66,AHR2,0.938069017,0.619906642
67,AHR2,0.904342856,0.53637954
68,AHR2,0.933456407,0.616200804
69,AHR2,0.957161825,0.719954585
70,AHR2,0.962188606,0.731941633
71,AHR2,0.963954337,0.750566223
72,AHR2,0.953344839,0.695931817
1,AWY2,0.951307837,0.664604282
2,AWY2,0.942560228,0.639277047
3,AWY2,0.935705209,0.603678515
4,AWY2,0.937877714,0.593143685
5,AWY2,0.949177941,0.668680043
6,AWY2,0.960844934,0.72468599
7,AWY2,0.94473593,0.657456343
8,AWY2,0.96110973,0.721733137
9,AWY2,0.961712675,0.725749744
10,AWY2,0.96407522,0.757305631
11,AWY2,0.924606438,0.559893157
12,AWY2,0.954658228,0.693657392
13,AWY2,0.943340826,0.619565515
14,AWY2,0.965857197,0.751828348
15,AWY2,0.969709452,0.778045986
16,AWY2,0.96673661,0.745515811
17,AWY2,0.959708951,0.699915503
18,AWY2,0.956071314,0.70409218
19,AWY2,0.965371622,0.747843599
20,AWY2,0.969957553,0.774191581
21,AWY2,0.968187225,0.758535039
22,AWY2,0.974680459,0.804547223
23,AWY2,0.974303263,0.797040885
24,AWY2,0.967028335,0.749510071
25,AWY2,0.97250439,0.781249682
26,AWY2,0.973594284,0.799466006
27,AWY2,0.958177263,0.737471628
28,AWY2,0.963369377,0.730997674
29,AWY2,0.971165979,0.780582901
30,AWY2,0.962541678,0.732686079
31,AWY2,0.969886267,0.775247308
32,AWY2,0.96740465,0.760990062
33,AWY2,0.962973231,0.737341626
34,AWY2,0.962678261,0.738740914
35,AWY2,0.954653312,0.711573408
36,AWY2,0.950410563,0.665719281
37,AWY2,0.96743752,0.74975024
38,AWY2,0.9435121,0.62034002
39,AWY2,0.958858064,0.72235205
40,AWY2,0.947231626,0.641803774
41,AWY2,0.967492796,0.76281928
42,AWY2,0.955170052,0.698708707
43,AWY2,0.963430405,0.748547764
44,AWY2,0.955843267,0.7039921
45,AWY2,0.969695092,0.78573731
46,AWY2,0.950586475,0.695766613
47,AWY2,0.963193531,0.745718436
48,AWY2,0.974647303,0.805150826
49,AWY2,0.960172997,0.705059441
50,AWY2,0.96757012,0.75355898
51,AWY2,0.958089102,0.714564003
52,AWY2,0.943094693,0.630786693
53,AWY2,0.965202996,0.740788377
54,AWY2,0.961271326,0.737358395
55,AWY2,0.955676696,0.705225663
56,AWY2,0.960158381,0.731566575
57,AWY2,0.963396529,0.746983783
58,AWY2,0.970041655,0.778823779
59,AWY2,0.970811202,0.782800403
60,AWY2,0.97057868,0.778849338
61,AWY2,0.96046592,0.712553874
62,AWY2,0.967658718,0.760466893
63,AWY2,0.966195725,0.760754407
64,AWY2,0.94551933,0.661119476
65,AWY2,0.927373009,0.619255644
66,AWY2,0.908640765,0.585600994
67,AWY2,0.967571247,0.767635395
68,AWY2,0.965793751,0.754857418
