id,Details,NDVI_TAMU,NDVI_WSU,Yield
1,HiRain_Hard_SP,0.930116895,0.519233543,74
2,HiRain_Hard_SP,0.926207496,0.521429199,30
3,HiRain_Hard_SP,0.941816367,0.588726213,94
4,HiRain_Hard_SP,0.939317525,0.580742053,87
5,HiRain_Hard_SP,0.949644474,0.615526615,89
6,HiRain_Hard_SP,0.926381638,0.537841929,86
7,HiRain_Hard_SP,0.936567078,0.556325016,78
8,HiRain_Hard_SP,0.93158955,0.544386474,92
9,HiRain_Hard_SP,0.949721561,0.619621391,113
10,HiRain_Hard_SP,0.950651396,0.617832813,88
11,HiRain_Hard_SP,0.923748256,0.544771684,71
12,HiRain_Hard_SP,0.953034252,0.636350989,103
13,HiRain_Hard_SP,0.951780964,0.636316112,106
14,HiRain_Hard_SP,0.957977106,0.659356192,106
15,HiRain_Hard_SP,0.958982462,0.669184107,124
16,HiRain_Hard_SP,0.957587244,0.655540421,117
17,HiRain_Hard_SP,0.94614999,0.605585103,111
18,HiRain_Hard_SP,0.948898392,0.616118641,120
19,HiRain_Hard_SP,0.951085934,0.619720501,117
20,HiRain_Hard_SP,0.949271796,0.610605923,127
21,HiRain_Hard_SP,0.95005788,0.636609085,117
22,HiRain_Hard_SP,0.952223755,0.631320869,102
23,HiRain_Hard_SP,0.94531063,0.58884623,119
24,HiRain_Hard_SP,0.953194146,0.632814812,109
25,HiRain_Hard_SP,0.954345172,0.639100968,107
26,HiRain_Hard_SP,0.951611698,0.625429334,98
27,HiRain_Hard_SP,0.944124479,0.586151498,108
28,HiRain_Hard_SP,0.953193878,0.630550872,96
29,HiRain_Hard_SP,0.948130049,0.634412627,107
30,HiRain_Hard_SP,0.956998833,0.673282103,105
31,HiRain_Hard_SP,0.955770527,0.653905816,100
32,HiRain_Hard_SP,0.956632905,0.654837125,92
33,HiRain_Hard_SP,0.965698998,0.713302497,103
34,HiRain_Hard_SP,0.965105657,0.70534898,104
35,HiRain_Hard_SP,0.962831143,0.682779237,101
36,HiRain_Hard_SP,0.966159252,0.709200331,108
37,HiRain_Hard_SP,0.963114604,0.687936536,94
38,HiRain_Hard_SP,0.968242246,0.719831621,107
39,HiRain_Hard_SP,0.964750207,0.695531397,101
40,HiRain_Hard_SP,0.96435555,0.703538322,100
41,HiRain_Hard_SP,0.976311413,0.790195331,92
42,HiRain_Hard_SP,0.964866225,0.700640619,98
43,HiRain_Hard_SP,0.967872299,0.725518702,129
44,HiRain_Hard_SP,0.968913729,0.728880855,121
45,HiRain_Hard_SP,0.969009769,0.725509766,127
46,HiRain_Hard_SP,0.964561663,0.69980935,123
47,HiRain_Hard_SP,0.970056515,0.731940503,133
48,HiRain_Hard_SP,0.964694074,0.696690905,124
49,HiRain_Hard_SP,0.950498995,0.633642224,105
50,HiRain_Hard_SP,0.967564144,0.716386092,121
51,HiRain_Hard_SP,0.970139927,0.733572777,127
52,HiRain_Hard_SP,0.963148554,0.6890456,115
53,HiRain_Hard_SP,0.959499297,0.677612362,115
54,HiRain_Hard_SP,0.965354072,0.712527904,122
55,HiRain_Hard_SP,0.955606596,0.649913115,109
56,HiRain_Hard_SP,0.95732363,0.660992155,117
57,HiRain_Hard_SP,0.965838857,0.703698117,108
58,HiRain_Hard_SP,0.968142758,0.720818415,109
59,HiRain_Hard_SP,0.969004557,0.72632943,110
60,HiRain_Hard_SP,0.966162507,0.708659358,107
61,HiRain_Hard_SP,0.945872903,0.635463662,93
62,HiRain_Hard_SP,0.96737709,0.712411704,111
63,HiRain_Hard_SP,0.969576652,0.731256732,108
64,HiRain_Hard_SP,0.967136399,0.715192631,111
65,HiRain_Hard_SP,0.96455438,0.700833936,114
66,HiRain_Hard_SP,0.966417335,0.714547899,116
67,HiRain_Hard_SP,0.967874716,0.726070511,105
68,HiRain_Hard_SP,0.957177475,0.65985735,100
69,HiRain_Hard_SP,0.953964065,0.640741398,107
70,HiRain_Hard_SP,0.956149492,0.6564638,111
71,HiRain_Hard_SP,0.898250342,0.464606119,81
72,HiRain_Hard_SP,0.914597225,0.507682504,78
73,HiRain_Hard_SP,0.896385276,0.454633683,83
74,HiRain_Hard_SP,0.947849646,0.596448382,90
75,HiRain_Hard_SP,0.948859194,0.612925251,107
76,HiRain_Hard_SP,0.952728587,0.616888734,109
77,HiRain_Hard_SP,0.963449468,0.684016154,136
78,HiRain_Hard_SP,0.963175864,0.694122011,103
79,HiRain_Hard_SP,0.9578695,0.661978756,118
80,HiRain_Hard_SP,0.956781118,0.658820417,106
81,HiRain_Hard_SP,0.956484375,0.663485554,108
82,HiRain_Hard_SP,0.965506901,0.706771038,126
83,HiRain_Hard_SP,0.967066419,0.71416695,117
84,HiRain_Hard_SP,0.966380001,0.712710352,115
85,HiRain_Hard_SP,0.961021505,0.679059298,107
86,HiRain_Hard_SP,0.949760333,0.61968774,106
87,HiRain_Hard_SP,0.953700107,0.641692653,97
88,HiRain_Hard_SP,0.95730412,0.657909141,103
89,HiRain_Hard_SP,0.954256105,0.639619092,98
90,HiRain_Hard_SP,0.959066201,0.6708568,95
91,HiRain_Hard_SP,0.958901324,0.690973967,83
92,HiRain_Hard_SP,0.915181039,0.492628288,87
93,HiRain_Hard_SP,0.916274144,0.455743959,81
94,HiRain_Hard_SP,0.937136352,0.564667719,96
95,HiRain_Hard_SP,0.906507689,0.477601915,84
96,HiRain_Hard_SP,0.87905537,0.387710234,70
97,HiRain_Hard_SP,0.861310828,0.325413453,54
98,HiRain_Hard_SP,0.886954946,0.372151095,70
99,HiRain_Hard_SP,0.897922181,0.424869292,74
100,HiRain_Hard_SP,0.892861363,0.396789271,67
101,HiRain_Hard_SP,0.892430827,0.395792335,73
