id,Details,NDRE_TAMU,NDRE_WSU,Yield
1,HiRain_Hard_SP,0.115094226,0.324965346,74
2,HiRain_Hard_SP,0.139261676,0.359747129,30
3,HiRain_Hard_SP,0.187232944,0.390938539,94
4,HiRain_Hard_SP,0.161460289,0.372154265,87
5,HiRain_Hard_SP,0.179731991,0.374589985,89
6,HiRain_Hard_SP,0.111372137,0.340637725,86
7,HiRain_Hard_SP,0.13576924,0.350690929,78
8,HiRain_Hard_SP,0.129685941,0.347862377,92
9,HiRain_Hard_SP,0.204825953,0.398033607,113
10,HiRain_Hard_SP,0.209766486,0.399859365,88
11,HiRain_Hard_SP,0.114005013,0.343599831,71
12,HiRain_Hard_SP,0.219189269,0.402931686,103
13,HiRain_Hard_SP,0.215632718,0.40345448,106
14,HiRain_Hard_SP,0.22814961,0.403491589,106
15,HiRain_Hard_SP,0.261613412,0.439519678,124
16,HiRain_Hard_SP,0.2387926,0.421906624,117
17,HiRain_Hard_SP,0.173525429,0.374967349,111
18,HiRain_Hard_SP,0.184613964,0.380207813,120
19,HiRain_Hard_SP,0.197023369,0.388340361,117
20,HiRain_Hard_SP,0.200148289,0.390763029,127
21,HiRain_Hard_SP,0.193679523,0.396392861,117
22,HiRain_Hard_SP,0.216035219,0.409568889,102
23,HiRain_Hard_SP,0.186066364,0.378028512,119
24,HiRain_Hard_SP,0.215528226,0.402162935,109
25,HiRain_Hard_SP,0.20532678,0.39059396,107
26,HiRain_Hard_SP,0.197779069,0.38455434,98
27,HiRain_Hard_SP,0.182226918,0.375660151,108
28,HiRain_Hard_SP,0.206497589,0.391616256,96
29,HiRain_Hard_SP,0.215744851,0.41109099,107
30,HiRain_Hard_SP,0.251335262,0.434904273,105
31,HiRain_Hard_SP,0.21705881,0.401365922,100
32,HiRain_Hard_SP,0.222104425,0.406171674,92
33,HiRain_Hard_SP,0.241259392,0.423775243,103
34,HiRain_Hard_SP,0.258471614,0.434376602,104
35,HiRain_Hard_SP,0.246554267,0.422332076,101
36,HiRain_Hard_SP,0.25519735,0.429885852,108
37,HiRain_Hard_SP,0.240498768,0.419573928,94
38,HiRain_Hard_SP,0.264338956,0.435684393,107
39,HiRain_Hard_SP,0.237053193,0.413900148,101
40,HiRain_Hard_SP,0.232873685,0.414433972,100
41,HiRain_Hard_SP,0.269058334,0.44317854,92
42,HiRain_Hard_SP,0.257179605,0.431922914,98
43,HiRain_Hard_SP,0.279727893,0.45226385,129
44,HiRain_Hard_SP,0.274457059,0.447566755,121
45,HiRain_Hard_SP,0.272149862,0.443327155,127
46,HiRain_Hard_SP,0.260637623,0.434020983,123
47,HiRain_Hard_SP,0.301804526,0.466354635,133
48,HiRain_Hard_SP,0.258145517,0.431664868,124
49,HiRain_Hard_SP,0.214494703,0.407861734,105
50,HiRain_Hard_SP,0.276918236,0.445552448,121
51,HiRain_Hard_SP,0.254790934,0.42643511,127
52,HiRain_Hard_SP,0.240866909,0.419434239,115
53,HiRain_Hard_SP,0.226179297,0.411904102,115
