id,Details,NDRE,PLATFORM,Yield
1,HiRain_Hard_SP,0.115094226,TAMU,74
2,HiRain_Hard_SP,0.139261676,TAMU,30
3,HiRain_Hard_SP,0.187232944,TAMU,94
4,HiRain_Hard_SP,0.161460289,TAMU,87
5,HiRain_Hard_SP,0.179731991,TAMU,89
6,HiRain_Hard_SP,0.111372137,TAMU,86
7,HiRain_Hard_SP,0.13576924,TAMU,78
8,HiRain_Hard_SP,0.129685941,TAMU,92
9,HiRain_Hard_SP,0.204825953,TAMU,113
10,HiRain_Hard_SP,0.209766486,TAMU,88
11,HiRain_Hard_SP,0.114005013,TAMU,71
12,HiRain_Hard_SP,0.219189269,TAMU,103
13,HiRain_Hard_SP,0.215632718,TAMU,106
14,HiRain_Hard_SP,0.22814961,TAMU,106
15,HiRain_Hard_SP,0.261613412,TAMU,124
16,HiRain_Hard_SP,0.2387926,TAMU,117
17,HiRain_Hard_SP,0.173525429,TAMU,111
18,HiRain_Hard_SP,0.184613964,TAMU,120
19,HiRain_Hard_SP,0.197023369,TAMU,117
20,HiRain_Hard_SP,0.200148289,TAMU,127
21,HiRain_Hard_SP,0.193679523,TAMU,117
22,HiRain_Hard_SP,0.216035219,TAMU,102
23,HiRain_Hard_SP,0.186066364,TAMU,119
24,HiRain_Hard_SP,0.215528226,TAMU,109
25,HiRain_Hard_SP,0.20532678,TAMU,107
26,HiRain_Hard_SP,0.197779069,TAMU,98
27,HiRain_Hard_SP,0.182226918,TAMU,108
28,HiRain_Hard_SP,0.206497589,TAMU,96
29,HiRain_Hard_SP,0.215744851,TAMU,107
30,HiRain_Hard_SP,0.251335262,TAMU,105
31,HiRain_Hard_SP,0.21705881,TAMU,100
32,HiRain_Hard_SP,0.222104425,TAMU,92
33,HiRain_Hard_SP,0.241259392,TAMU,103
34,HiRain_Hard_SP,0.258471614,TAMU,104
35,HiRain_Hard_SP,0.246554267,TAMU,101
36,HiRain_Hard_SP,0.25519735,TAMU,108
37,HiRain_Hard_SP,0.240498768,TAMU,94
38,HiRain_Hard_SP,0.264338956,TAMU,107
39,HiRain_Hard_SP,0.237053193,TAMU,101
40,HiRain_Hard_SP,0.232873685,TAMU,100
41,HiRain_Hard_SP,0.269058334,TAMU,92
42,HiRain_Hard_SP,0.257179605,TAMU,98
43,HiRain_Hard_SP,0.279727893,TAMU,129
44,HiRain_Hard_SP,0.274457059,TAMU,121
45,HiRain_Hard_SP,0.272149862,TAMU,127
46,HiRain_Hard_SP,0.260637623,TAMU,123
47,HiRain_Hard_SP,0.301804526,TAMU,133
48,HiRain_Hard_SP,0.258145517,TAMU,124
49,HiRain_Hard_SP,0.214494703,TAMU,105
50,HiRain_Hard_SP,0.276918236,TAMU,121
51,HiRain_Hard_SP,0.254790934,TAMU,127
52,HiRain_Hard_SP,0.240866909,TAMU,115
53,HiRain_Hard_SP,0.226179297,TAMU,115
54,HiRain_Hard_SP,0.251950751,TAMU,122
55,HiRain_Hard_SP,0.216544566,TAMU,109
56,HiRain_Hard_SP,0.223617636,TAMU,117
57,HiRain_Hard_SP,0.271889994,TAMU,108
58,HiRain_Hard_SP,0.282035944,TAMU,109
59,HiRain_Hard_SP,0.276911623,TAMU,110
60,HiRain_Hard_SP,0.273405598,TAMU,107
61,HiRain_Hard_SP,0.207705674,TAMU,93
62,HiRain_Hard_SP,0.268032924,TAMU,111
63,HiRain_Hard_SP,0.277492354,TAMU,108
64,HiRain_Hard_SP,0.256098052,TAMU,111
65,HiRain_Hard_SP,0.275071206,TAMU,114
66,HiRain_Hard_SP,0.290265891,TAMU,116
67,HiRain_Hard_SP,0.256118656,TAMU,105
